Frase,Secao
"Tem dificuldade para entender enunciados longos","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Confunde o que a questão está pedindo","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Precisa reler várias vezes para compreender","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Tem dificuldade com linguagem indireta ou figurada","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Entende melhor quando o comando está destacado","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Se perde quando há múltiplas instruções na mesma questão","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Compreende melhor quando as instruções estão numeradas","SEÇÃO 2 - LINGUAGEM E COMPREENSÃO"
"Distrai-se facilmente com estímulos ao redor","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Começa a prova bem, mas perde foco ao longo do tempo","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Responde impulsivamente e erra por desatenção","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Tem dificuldade para organizar a resposta","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Se perde quando precisa seguir vários passos","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Apresenta melhora quando a tarefa é dividida em partes menores","SEÇÃO 3 - ATENÇÃO E FUNÇÃO EXECUTIVA"
"Demonstra dificuldade para manter várias informações na mente ao mesmo tempo","SEÇÃO 4 - MEMÓRIA E CARGA COGNITIVA"
"Esquece parte das instruções ao longo da execução","SEÇÃO 4 - MEMÓRIA E CARGA COGNITIVA"
"Tem desempenho melhor quando pode consultar novamente o enunciado","SEÇÃO 4 - MEMÓRIA E CARGA COGNITIVA"
"Escreve lentamente","SEÇÃO 5 - PRODUÇÃO ESCRITA E REGISTRO"
"Demonstra cansaço ao escrever por períodos mais longos","SEÇÃO 5 - PRODUÇÃO ESCRITA E REGISTRO"
"Tem dificuldade na organização espacial da escrita","SEÇÃO 5 - PRODUÇÃO ESCRITA E REGISTRO"
"Perde pontos por não conseguir registrar tudo a tempo","SEÇÃO 5 - PRODUÇÃO ESCRITA E REGISTRO"
"Apresenta melhora quando há espaço delimitado para resposta","SEÇÃO 5 - PRODUÇÃO ESCRITA E REGISTRO"
"Se perde em tabelas ou gráficos densos","SEÇÃO 6 - ORGANIZAÇÃO VISUAL E ESPACIAL"
"Comete erros por desalinhamento (colunas, casas decimais etc.)","SEÇÃO 6 - ORGANIZAÇÃO VISUAL E ESPACIAL"
"Apresenta melhora quando usa quadriculado ou linhas-guia","SEÇÃO 6 - ORGANIZAÇÃO VISUAL E ESPACIAL"
"Demonstra dificuldade em organizar informações no espaço da folha","SEÇÃO 6 - ORGANIZAÇÃO VISUAL E ESPACIAL"
"Confunde sinais matemáticos (+, -, x, ÷)","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Troca a ordem de números em operações","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Demonstra dificuldade em organizar contas no papel","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Tem dificuldade em interpretar problemas matemáticos escritos","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Apresenta melhora quando a operação é visualmente organizada","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Comete erros por desorganização espacial, não por desconhecimento do conteúdo","SEÇÃO 7 - PROCESSAMENTO EM MATEMÁTICA / DISCIPLINAS DE EXATAS"
"Dividir a prova em blocos menores","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Destacar palavras-chave","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Instruções em passos numerados","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Layout mais limpo","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Maior espaçamento entre questões","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Tempo adicional (quando previsto)","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Ambiente com menos distração","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Quadriculado / guia visual","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Imagem de suporte","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Outro (campo curto)","SEÇÃO 8 - O QUE JÁ FUNCIONOU"
"Simplificar o conteúdo","SEÇÃO 9 - LIMITES IMPORTANTES"
"Dar pistas ou respostas","SEÇÃO 9 - LIMITES IMPORTANTES"
"Alterar o objetivo da questão","SEÇÃO 9 - LIMITES IMPORTANTES"
"Infantilizar a linguagem","SEÇÃO 9 - LIMITES IMPORTANTES"
"Separar enunciado das alternativas","SEÇÃO 9 - LIMITES IMPORTANTES"
